"placekey","parent_placekey","location_name","safegraph_brand_ids","brands","top_category","sub_category","category_tags","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","opened_on","closed_on","tracking_closed_since","geometry_type","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","poi_cbg","visitor_home_aggregation","visitor_daytime_cbgs"
226-227@627-s4k-pd9,,SoulCycle,SG_BRAND_01e9b7353083bb45c018b3c8ee7612c5,SoulCycle,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.791825,-73.97425,2465 Broadway,New York,NY,10025,US,+12125797685,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,40,32,"[4,0,1,1,1,2,0,2,0,2,2,1,0,0,1,3,0,0,2,1,2,2,1,2,1,0,3,2,3,1,0]","{""360471166003"":4,""360850138005"":4,""360594060013"":4,""360610179003"":4}","{""US"":26}",2582,45.0,"{""<5"":2,""5-10"":5,""11-20"":3,""21-60"":12,""61-120"":7,""121-240"":0,"">240"":11}","{""Equinox Fitness Clubs"":5,""Starbucks"":5,""Duane Reade by Walgreens"":3,""BareBurger"":3,""Potbelly Sandwich Works"":3,""Paris Baguette"":3,""KFC"":3,""Hard Rock Cafe"":3,""Le Pain Quotidien"":3,""Mobil"":3,""Lenwich"":3,""Pinkberry"":3,""Mattress Firm"":3,""Blink Fitness"":3,""Westfield"":3,""McDonald's"":3,""CVS"":3,""Stew Leonard's"":3,""Foot Locker"":3,""Marriott Hotels"":3}","{""Starbucks"":53,""Dunkin'"":38,""Equinox Fitness Clubs"":28,""McDonald's"":28,""Walmart"":25,""Target"":22,""CVS"":22,""Joe & The Juice"":19,""Sunoco"":19,""Subway"":19,""Chipotle Mexican Grill"":16,""T.J. Maxx"":16,""Speedway"":16,""Planet Fitness"":13,""Simon mall"":13,""BP"":13,""Baskin Robbins"":13,""Mobil"":13,""AutoZone"":13,""5 Napkin Burger"":13}","[1,2,2,1,1,3,4,7,16,14,15,14,11,10,9,10,4,5,5,3,0,1,2,1]","{""Monday"":4,""Tuesday"":6,""Wednesday"":4,""Thursday"":12,""Friday"":5,""Saturday"":5,""Sunday"":4}","{""android"":16,""ios"":16}",360610179005,"{""360050210021"":4,""360610175003"":4,""360610154002"":4,""360610179005"":4}","{""360850138005"":4,""360610171001"":4,""360610277002"":4,""361190062004"":4,""360610175006"":4,""360470864001"":4}"
22d-223@627-s8k-2zf,,The Training Lab,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.750793,-73.984801,28 W 37th St,New York,NY,10018,US,+12127365400,"{ ""Mon"": [[""5:00"", ""21:00""]], ""Tue"": [[""5:00"", ""21:00""]], ""Wed"": [[""5:00"", ""21:00""]], ""Thu"": [[""5:00"", ""21:00""]], ""Fri"": [[""5:00"", ""20:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [[""9:00"", ""15:00""]] }",,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,154,75,"[4,8,2,1,1,9,7,5,5,3,5,6,8,5,11,4,4,0,7,7,6,7,3,2,2,8,4,6,6,4,4]","{""360810797013"":5,""360810071001"":4,""360610084002"":4,""340170178002"":4,""360594053011"":4,""040190040611"":4,""120210112021"":4,""361190067003"":4,""340230082083"":4}","{""US"":66}",113302,99.5,"{""<5"":1,""5-10"":3,""11-20"":8,""21-60"":29,""61-120"":47,""121-240"":27,"">240"":39}","{""Starbucks"":5,""McDonald's"":4,""Dunkin'"":3,""New York Sports Club"":3,""BP"":2,""Marriott Vacation Club"":2,""Wingate by Wyndham"":1,""Target"":1,""Fairfield Inn & Suites by Marriott"":1,""Auntie Anne's"":1,""Barnes and Noble"":1,""Taco Bell"":1,""Five Below"":1,""Galvanize"":1,""Chick-fil-A"":1,""SpringHill Suites by Marriott"":1,""Trade Fair Supermarket"":1,""Food Bazaar Supermarket"":1,""Nike"":1,""Tourneau"":1}","{""Starbucks"":35,""McDonald's"":35,""Dunkin'"":33,""Target"":24,""CVS"":24,""Walmart"":21,""Chick-fil-A"":21,""Sunoco"":20,""Walgreens"":17,""BP"":16,""Costco"":16,""Shell Oil"":16,""Speedway"":15,""Mobil"":15,""Burger King"":15,""Fairfield Inn & Suites by Marriott"":13,""Marriott Vacation Club"":13,""Barnes and Noble"":12,""Shake Shack"":12,""Taco Bell"":12}","[21,20,19,19,18,23,37,37,26,34,46,47,38,33,33,27,24,21,23,18,16,19,18,21]","{""Monday"":22,""Tuesday"":28,""Wednesday"":24,""Thursday"":33,""Friday"":24,""Saturday"":15,""Sunday"":8}","{""android"":21,""ios"":54}",360610084002,"{""360810071001"":5,""171118711072"":4,""220710133022"":4,""080690013082"":4,""360810243001"":4,""360850277041"":4,""360470217002"":4,""120210112021"":4,""470430605013"":4}","{""340170188002"":5,""360050248001"":5,""360810797013"":4,""295101012001"":4,""340190107022"":4,""131210116202"":4,""180571111024"":4,""171118711072"":4,""360595175002"":4,""517000320073"":4,""060379200431"":4,""540390111001"":4,""450190031051"":4,""120110502061"":4,""360594158024"":4,""360610022011"":4}"
zzw-22f@627-wc6-zcq,,Private Yoga Soho,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.721632,-74.000622,52 Mercer St Fl 5,New York,NY,10013,US,+17402213048,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,103,82,"[3,1,1,1,2,1,5,4,4,4,2,6,1,3,3,5,7,3,3,1,7,8,3,4,1,5,4,3,2,3,3]","{""360610015021"":6,""360610104001"":6,""450190057004"":4,""090035141012"":4,""340373713002"":4,""360850033002"":4,""360470436002"":4,""361190048002"":4,""060373008003"":4,""360810499001"":4,""340030382002"":4,""360610245003"":4,""482014124003"":4,""360470053001"":4,""310550074691"":4,""360594113021"":4,""360610008006"":4,""360610038003"":4,""360050348001"":4}","{""US"":77}",24683,44.0,"{""<5"":1,""5-10"":1,""11-20"":14,""21-60"":53,""61-120"":24,""121-240"":8,"">240"":2}","{""Starbucks"":7,""Dunkin'"":6,""Flywheel"":4,""Homewood Suites by Hilton"":3,""Target"":2,""Planet Fitness"":2,""Equinox Fitness Clubs"":2,""Gong Cha"":2,""Domino's Pizza"":2,""sweetgreen"":2,""SoulCycle"":2,""Le Pain Quotidien"":2,""Burger King"":2,""McDonald's"":2,""IHOP"":1,""Duane Reade by Walgreens"":1,""La Rosa Chicken & Grill"":1,""Chipotle Mexican Grill"":1,""Simon mall"":1,""Shake Shack"":1}","{""Starbucks"":44,""Target"":38,""Dunkin'"":37,""McDonald's"":30,""CVS"":26,""Walgreens"":23,""Walmart"":22,""T.J. Maxx"":21,""Subway"":21,""Chipotle Mexican Grill"":18,""BP"":18,""Simon mall"":17,""Mobil"":17,""Costco"":17,""Shell Oil"":17,""Chick-fil-A"":16,""The Home Depot"":15,""Baskin Robbins"":15,""Marshalls"":13,""Dollar General"":12}","[2,0,0,0,0,0,0,1,4,13,16,16,12,9,18,22,22,24,21,14,4,2,2,3]","{""Monday"":16,""Tuesday"":7,""Wednesday"":18,""Thursday"":20,""Friday"":16,""Saturday"":19,""Sunday"":7}","{""android"":42,""ios"":39}",360610047002,"{""360610245003"":6,""110010098022"":6,""360610104001"":4,""360810220021"":4,""360610084002"":4,""360810114001"":4,""360810281003"":4,""360810014002"":4,""360470074001"":4,""360610031001"":4,""340030552001"":4,""090034601001"":4,""360610101001"":4,""470039504013"":4,""360610038003"":4,""450190046081"":4,""450190057004"":4,""360610008006"":4,""361190048002"":4,""340390364001"":4}","{""090076801004"":5,""360610084002"":4,""360610032004"":4,""340230012003"":4,""360470090001"":4,""310550074691"":4,""360850033002"":4,""450190057004"":4,""360610030021"":4,""360610031001"":4,""360610151004"":4,""482014124003"":4,""060373008003"":4,""340030552001"":4,""360610018001"":4,""360594113021"":4,""360850105005"":4}"
224-222@627-s4n-389,,Flow Factor,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.769184,-73.952321,1425 York Ave,New York,NY,10021,US,,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,34,27,"[1,1,0,0,0,1,0,3,0,2,1,0,0,2,0,1,0,1,1,0,3,3,3,1,0,2,4,3,1,0,0]","{""360810954001"":4,""510190302021"":4,""360610136006"":4,""420893012041"":4,""360594079004"":4}","{""US"":26}",16403,53.0,"{""<5"":0,""5-10"":1,""11-20"":1,""21-60"":17,""61-120"":10,""121-240"":3,"">240"":2}","{""Starbucks"":13,""Duane Reade by Walgreens"":3,""Chipotle Mexican Grill"":3,""Baskin Robbins"":3,""SoulCycle"":3,""LA Fitness"":3,""CrossFit"":3,""CubeSmart"":3,""Five Guys"":3,""Applebee's"":3,""Volvo"":3,""McDonald's"":3,""AT&T"":3,""CVS"":3,""Lifetime Fitness"":3,""Exxon Mobil"":3,""My Gym Children's Fitness Centers"":3,""Pret A Manger"":3,""Subway"":3}","{""Starbucks"":59,""Dunkin'"":44,""McDonald's"":41,""Walmart"":33,""Mobil"":33,""Subway"":33,""BP"":30,""CVS"":26,""Target"":22,""7-Eleven"":22,""Wendy's"":22,""Duane Reade by Walgreens"":19,""The Home Depot"":19,""Baskin Robbins"":19,""Walgreens"":19,""BJ's Wholesale Club"":19,""Juice Press"":19,""Sunoco"":19,""Chipotle Mexican Grill"":15,""Simon mall"":15}","[2,2,2,2,2,2,2,3,4,6,12,11,3,4,3,2,3,5,3,1,3,1,2,3]","{""Monday"":3,""Tuesday"":5,""Wednesday"":8,""Thursday"":8,""Friday"":5,""Saturday"":3,""Sunday"":2}","{""android"":15,""ios"":8}",360610132004,"{""360810113003"":4,""360593029003"":4,""360594079004"":4,""360710143021"":4,""360050274011"":4}","{""360810113003"":8,""360710143021"":4,""360810954001"":4}"
22t-222@627-s4m-6c5,,BodyStrength Fitness,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.800974,-73.967513,250 W 106th St Fl 2,New York,NY,10025,US,+12123163338,"{ ""Mon"": [[""6:00"", ""22:00""]], ""Tue"": [[""6:00"", ""22:00""]], ""Wed"": [[""6:00"", ""22:00""]], ""Thu"": [[""6:00"", ""22:00""]], ""Fri"": [[""6:00"", ""22:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""8:00"", ""20:00""]] }",,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,57,40,"[0,1,2,0,1,0,0,1,3,1,3,0,2,0,2,8,5,2,1,1,3,1,5,4,2,1,0,1,0,2,5]","{""360550125001"":4,""360594120002"":4,""484530024282"":4,""281379503022"":4,""360610234002"":4,""360810566001"":4,""100030166022"":4,""360610235012"":4,""360610199006"":4,""360810693002"":4,""360610191003"":4}","{""US"":36}",10658,104.0,"{""<5"":0,""5-10"":0,""11-20"":2,""21-60"":16,""61-120"":18,""121-240"":8,"">240"":13}","{""Dunkin'"":7,""Sunoco"":4,""Western Beef"":2,""Villa Italian Kitchen"":2,""Zara"":2,""Wolford"":2,""Target"":2,""BMW Motorrad"":2,""Banana Republic"":2,""Ben & Jerry's"":2,""The Home Depot"":2,""PetSmart"":2,""GameStop"":2,""Starbucks"":2,""Wendy's"":2,""Grand Hyatt"":2,""LUSH"":2,""Costco"":2,""BJ's Wholesale Club"":2,""Panda Express"":2}","{""Starbucks"":38,""McDonald's"":28,""Target"":23,""Subway"":23,""Dunkin'"":23,""Walmart"":20,""BP"":20,""Walgreens"":18,""Chipotle Mexican Grill"":15,""CVS"":15,""Sunoco"":15,""The Home Depot"":13,""Wendy's"":13,""IHOP"":10,""Key Food"":10,""Simon mall"":10,""7-Eleven"":10,""Stop & Shop"":10,""Kohl's"":10,""Western Beef"":8}","[7,7,8,7,7,7,8,9,5,12,13,12,11,11,11,12,17,14,8,4,9,11,9,7]","{""Monday"":3,""Tuesday"":3,""Wednesday"":4,""Thursday"":4,""Friday"":19,""Saturday"":17,""Sunday"":7}","{""android"":18,""ios"":16}",360610191005,"{""360610094001"":4,""360810309022"":4,""360710126011"":4,""360470594012"":4,""360610235012"":4,""361031223002"":4,""360610257001"":4,""360810110002"":4,""360610234002"":4,""360050043002"":4}","{""360810565001"":6,""120860194002"":4,""360610159002"":4,""360710126011"":4,""100030144031"":4,""360610234002"":4,""100030166022"":4,""360610013002"":4}"
222-225@627-s8q-vpv,,Equinox Fitness Clubs,SG_BRAND_0cf9d52fc56badb790a6c3965f24eb8c,Equinox Fitness Clubs,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.759739,-73.975446,10 E 53rd St,New York,NY,10022,US,,"{ ""Mon"": [[""5:30"", ""21:00""]], ""Tue"": [[""5:30"", ""21:00""]], ""Wed"": [[""5:30"", ""21:00""]], ""Thu"": [[""5:30"", ""21:00""]], ""Fri"": [[""5:30"", ""19:00""]], ""Sat"": [], ""Sun"": [] }",,,2021-04,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,43,29,"[0,0,0,0,0,0,0,4,4,0,0,3,1,2,2,1,0,0,1,3,1,3,1,1,2,3,4,1,4,1,1]","{""340130216023"":4,""360610166006"":4,""340130117001"":4,""361190021032"":4,""360810797012"":4,""360810259002"":4,""360610160022"":4,""361031591061"":4,""340230078011"":4,""340030475004"":4}","{""US"":27}",25413,100.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":12,""61-120"":13,""121-240"":8,"">240"":9}","{""Starbucks"":12,""Juice Press"":9,""Coach"":5,""GUESS"":2,""BP"":2,""Westin Hotels & Resorts"":2,""Staybridge Suites"":2,""Shake Shack"":2,""Paris Baguette"":2,""KFC"":2,""Just Salad"":2,""7-Eleven"":2,""Party City"":2,""Park Plaza"":2,""Victoria's Secret"":2,""Uniqlo"":2,""Au Bon Pain"":2,""CrossFit"":2,""Staples"":2,""CubeSmart"":2}","{""Starbucks"":41,""Dunkin'"":34,""McDonald's"":31,""Mobil"":28,""BP"":21,""Taco Bell"":21,""The Home Depot"":21,""7-Eleven"":21,""T.J. Maxx"":17,""Wendy's"":17,""CVS"":17,""Target"":14,""Chipotle Mexican Grill"":14,""Wawa"":14,""Walgreens"":14,""Panera Bread"":14,""Juice Press"":14,""Dollar Tree"":14,""Walmart"":10,""Bluestone Lane"":10}","[1,0,0,0,0,0,4,14,15,16,16,19,17,14,12,12,14,9,6,3,0,0,0,1]","{""Monday"":7,""Tuesday"":8,""Wednesday"":4,""Thursday"":13,""Friday"":7,""Saturday"":2,""Sunday"":2}","{""android"":18,""ios"":9}",360610102001,"{""360470039001"":4,""340030475004"":4,""360610160022"":4,""340130117001"":4,""360610166006"":4,""360594123022"":4,""360470423001"":4,""360850170082"":4,""360810713053"":4,""361190021032"":4}","{""360850170082"":4,""360610102001"":4,""361031591061"":4,""360610307002"":4}"
zzy-222@627-wbn-hqz,,Bollywood Dance Fitness,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.737107,-74.004908,12 Eighth Ave Fl 4,New York,NY,10001,US,,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,79,63,"[2,1,5,2,0,4,1,5,3,1,4,6,6,0,2,2,3,1,2,5,2,0,1,3,1,2,2,2,3,4,4]","{""360050289002"":6,""361031226013"":6,""360050368001"":5,""360610079003"":4,""360593013001"":4,""090010503003"":4,""360850112023"":4,""360050197002"":4,""360810884004"":4,""360050307012"":4,""360811417005"":4,""360810180001"":4,""361031122122"":4}","{""US"":59}",17921,25.0,"{""<5"":3,""5-10"":18,""11-20"":8,""21-60"":26,""61-120"":13,""121-240"":4,"">240"":7}","{""Starbucks"":8,""BP"":5,""Chipotle Mexican Grill"":4,""Dunkin'"":4,""Baskin Robbins"":3,""7-Eleven"":3,""SoulCycle"":3,""Walgreens"":3,""CVS"":3,""Juice Press"":3,""Target"":1,""Fairfield Inn & Suites by Marriott"":1,""Hermès"":1,""Olive Garden"":1,""Pure Barre"":1,""Krispy Krunchy Chicken"":1,""Four Seasons Hotels and Resorts"":1,""Domino's Pizza"":1,""Lowe's"":1,""NAPA Auto Parts"":1}","{""Starbucks"":48,""Dunkin'"":32,""BP"":27,""The Home Depot"":25,""McDonald's"":24,""Sunoco"":24,""Target"":19,""Chipotle Mexican Grill"":19,""CVS"":19,""Duane Reade by Walgreens"":17,""Baskin Robbins"":17,""Walgreens"":17,""Mobil"":16,""Subway"":16,""Shell Oil"":14,""Speedway"":13,""7-Eleven"":13,""Costco"":13,""Rite Aid"":13,""Bolla Market"":11}","[1,0,2,4,0,1,3,9,10,18,19,16,12,17,12,8,7,7,8,7,6,3,0,0]","{""Monday"":10,""Tuesday"":17,""Wednesday"":5,""Thursday"":12,""Friday"":11,""Saturday"":16,""Sunday"":8}","{""android"":23,""ios"":36}",360610077004,"{""360050289002"":6,""360610129002"":6,""090010503003"":6,""360850112023"":4,""360610097001"":4,""360810271002"":4,""360810243004"":4,""360610079003"":4,""360470550001"":4,""360050279002"":4,""360050197002"":4,""360810863002"":4}","{""360470360013"":6,""360610097001"":6,""360610129002"":6,""360850112023"":5,""360811417005"":5,""360610210004"":4,""360470550001"":4,""361190115003"":4,""360610015010"":4,""340230081021"":4,""360610245003"":4}"
225-222@627-wc7-zmk,zzw-222@627-wc7-zmk,RA MA Yoga Institute,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.720791,-73.986575,125 Stanton St,New York,NY,10002,US,+19172616228,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,119,86,"[3,4,8,1,0,6,9,8,4,3,2,3,4,4,6,3,1,3,4,1,5,2,2,3,2,3,6,5,5,4,5]","{""360610030014"":5,""360470563001"":5,""121030226011"":4,""360610022011"":4,""170978648011"":4,""340130018001"":4,""361190054002"":4,""360470590001"":4,""360471098001"":4,""361190086022"":4,""340230078052"":4,""360610245005"":4,""360290091142"":4,""361190042003"":4,""340030545002"":4,""360610036011"":4,""360594131003"":4,""360610159003"":4}","{""US"":72}",12725,63.0,"{""<5"":0,""5-10"":5,""11-20"":4,""21-60"":47,""61-120"":42,""121-240"":6,"">240"":15}","{""Hilton International"":11,""Target"":5,""Starbucks"":5,""Dunkin'"":5,""McDonald's"":4,""Food Bazaar Supermarket"":3,""Holiday Inn"":3,""ConocoPhillips"":3,""BounceU"":2,""T.J. Maxx"":2,""Wawa"":2,""BHLDN"":2,""Shell Oil"":2,""Hyatt Regency"":1,""Pioneer Supermarkets"":1,""Advance Auto Parts"":1,""Disney Store"":1,""Econo Lodge"":1,""Planet Fitness"":1,""Cinnabon"":1}","{""Starbucks"":33,""McDonald's"":29,""Dunkin'"":27,""Target"":26,""CVS"":17,""Burger King"":16,""Walmart"":15,""Sunoco"":15,""Baskin Robbins"":14,""Shell Oil"":13,""BP"":12,""Mobil"":12,""Simon mall"":10,""The Home Depot"":10,""Subway"":10,""Chipotle Mexican Grill"":9,""T.J. Maxx"":9,""Wendy's"":9,""Costco"":9,""Rite Aid"":9}","[4,5,1,0,0,0,1,18,23,23,21,22,23,18,26,23,8,13,14,14,24,24,9,6]","{""Monday"":10,""Tuesday"":17,""Wednesday"":23,""Thursday"":24,""Friday"":17,""Saturday"":20,""Sunday"":8}","{""android"":42,""ios"":44}",360610030014,"{""360610030014"":7,""360594131003"":5,""340258095022"":5,""360471018001"":4,""360471098001"":4,""360610032007"":4,""360810033001"":4,""482014126002"":4,""360290094023"":4,""361190054002"":4,""361190086022"":4,""340030545002"":4,""121030226011"":4,""360610057002"":4,""360595177051"":4,""340258114013"":4}","{""340258095022"":5,""360610014022"":4,""261251582004"":4,""360470208003"":4,""360471098001"":4,""360610170001"":4,""340030545002"":4,""121030226011"":4,""360610057002"":4,""360470576002"":4,""360594131003"":4,""360610072002"":4,""360810171001"":4}"
zzy-223@627-s4m-vzz,,LL Studio,,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.777047,-73.954866,1477 3rd Ave 83/84 St,New York,NY,10028,US,+16466494422,,,,2019-07,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,96,56,"[4,2,1,0,1,4,4,5,7,3,2,4,4,6,3,3,1,0,5,7,3,3,3,2,3,2,1,6,3,2,2]","{""360610014021"":5,""483396921002"":5,""360610140002"":4,""360050415006"":4,""360594169001"":4,""360050221021"":4,""340170104002"":4,""360050264001"":4,""360610164001"":4,""340311244021"":4,""360850277023"":4,""360610168002"":4,""360470832001"":4,""360710145011"":4,""360594078011"":4,""360050229012"":4,""360610236001"":4,""360050430001"":4}","{""US"":51}",9840,51.0,"{""<5"":1,""5-10"":15,""11-20"":12,""21-60"":24,""61-120"":25,""121-240"":12,"">240"":7}","{""Just Salad"":11,""Starbucks"":9,""Rumble"":3,""The Home Depot"":2,""ALDO"":2,""LOFT"":2,""Rite Aid"":2,""Juice Press"":2,""16 Handles"":2,""Dunkin'"":2,""Rockin' Jump"":1,""Hyatt Place"":1,""Duane Reade by Walgreens"":1,""Gristedes"":1,""Trader Joe's"":1,""Target"":1,""Chipotle Mexican Grill"":1,""Yard House"":1,""BP"":1,""BareBurger"":1}","{""Starbucks"":57,""Dunkin'"":41,""McDonald's"":38,""CVS"":30,""sweetgreen"":21,""Walgreens"":21,""Target"":20,""Chipotle Mexican Grill"":20,""Walmart"":18,""Baskin Robbins"":18,""Mobil"":18,""Subway"":18,""BP"":16,""Juice Press"":16,""Shell Oil"":16,""Just Salad"":14,""7-Eleven"":14,""Rumble"":14,""The Home Depot"":13,""Wendy's"":13}","[3,1,2,1,2,2,6,13,22,17,10,18,18,20,18,20,9,9,13,9,9,4,4,3]","{""Monday"":12,""Tuesday"":16,""Wednesday"":19,""Thursday"":18,""Friday"":17,""Saturday"":9,""Sunday"":5}","{""android"":24,""ios"":30}",360610138001,"{""360470456002"":5,""360610144013"":5,""360610014021"":4,""360610140002"":4,""340311244021"":4,""250250005042"":4,""360810007001"":4,""360050033002"":4,""360810889015"":4,""360594136004"":4,""360810309031"":4,""360610158012"":4,""360050264001"":4,""360471522001"":4,""360610002023"":4,""340170184001"":4,""360050365022"":4,""340030292001"":4}","{""360810004001"":4,""360050365022"":4,""360610014021"":4,""340230066052"":4,""360610148012"":4,""360610138001"":4,""360050033002"":4,""360471522001"":4,""360050430001"":4,""360610168002"":4,""360610140002"":4,""361190006001"":4,""340170104002"":4,""360050221021"":4}"
zzw-223@627-s4n-2p9,,Wundabar Pilates,SG_BRAND_63d44015e0355081,Wundabar Pilates,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,,713940,40.773119,-73.956233,245 E 78th St,New York,NY,10075,US,,,,,2019-08,POLYGON,2021-07-01T00:00:00-04:00,2021-08-01T00:00:00-04:00,27,20,"[0,2,0,1,0,0,1,1,1,0,0,1,1,0,1,1,2,1,1,4,2,0,2,1,0,0,1,0,3,0,0]","{""360710147001"":5,""090034165003"":4,""360610013001"":4,""490532717022"":4,""360610134004"":4}","{""US"":19}",42669,61.0,"{""<5"":1,""5-10"":3,""11-20"":1,""21-60"":8,""61-120"":9,""121-240"":1,"">240"":4}","{""ULTA Beauty"":4,""Shake Shack"":4,""T.J. Maxx"":4,""sweetgreen"":4,""Baskin Robbins"":4,""Starbucks"":4,""Wendy's"":4,""Staples"":4,""Stop & Shop"":4,""Mattress Firm"":4,""CVS"":4,""Juice Press"":4,""GoHealth Urgent Care"":4,""Subway"":4}","{""Starbucks"":40,""McDonald's"":40,""Sunoco"":35,""Subway"":35,""Dunkin'"":35,""Taco Bell"":25,""Popeyes Louisiana Kitchen"":25,""Walmart"":20,""Wendy's"":20,""BP"":15,""Mobil"":15,""QuickChek"":15,""Rite Aid"":15,""CVS"":15,""Nathan's Famous"":15,""Target"":10,""Food Bazaar Supermarket"":10,""Simon mall"":10,""The Shade Store"":10,""ALDI"":10}","[5,6,5,5,3,2,0,2,1,2,6,4,2,0,1,1,0,1,5,6,2,4,7,7]","{""Monday"":2,""Tuesday"":6,""Wednesday"":3,""Thursday"":5,""Friday"":6,""Saturday"":3,""Sunday"":2}","{""android"":7,""ios"":13}",360610134004,"{""360710147001"":5,""361190137001"":4,""360595217005"":4,""360610013001"":4,""360470610041"":4}","{""360610137005"":4,""360610197011"":4}"
